B,G,R,Target
16,16,17,hijau
60,141,97,hijau
67,147,105,hijau
68,148,105,hijau
69,149,106,hijau
69,149,106,hijau
68,147,105,hijau
68,147,104,hijau
68,147,104,hijau
68,147,104,hijau
67,146,104,hijau
67,146,103,hijau
66,146,103,hijau
66,145,102,hijau
65,144,101,hijau
65,144,101,hijau
65,143,101,hijau
64,143,100,hijau
64,143,101,hijau
63,143,100,hijau
63,143,100,hijau
63,143,100,hijau
61,142,99,hijau
61,142,99,hijau
61,142,99,hijau
62,143,99,hijau
63,143,100,hijau
63,143,100,hijau
62,143,99,hijau
62,143,99,hijau
63,144,100,hijau
63,144,100,hijau
63,144,100,hijau
63,144,100,hijau
64,145,100,hijau
64,145,101,hijau
63,144,100,hijau
63,144,100,hijau
63,144,100,hijau
63,144,101,hijau
63,144,101,hijau
64,144,101,hijau
63,144,101,hijau
63,144,101,hijau
64,145,101,hijau
64,145,101,hijau
65,146,101,hijau
64,145,101,hijau
64,145,101,hijau
64,145,101,hijau
64,145,101,hijau
64,145,101,hijau
64,145,101,hijau
64,145,101,hijau
64,146,102,hijau
64,147,102,hijau
64,147,102,hijau
65,148,103,hijau
65,148,102,hitam
20,24,22,hitam
26,32,28,hitam
28,34,31,hitam
28,34,31,hitam
26,32,28,hitam
25,30,27,hitam
25,30,27,hitam
24,28,26,hitam
24,28,26,hitam
26,31,28,hitam
26,31,28,hitam
26,31,28,hitam
27,33,29,hitam
27,33,29,hitam
26,33,28,hitam
26,33,28,hitam
22,28,24,hitam
16,23,19,hitam
16,23,19,hitam
16,23,19,hitam
16,23,19,hitam
15,19,16,hitam
15,19,16,hitam
15,19,16,hitam
11,15,13,hitam
11,15,13,hitam
10,13,11,hitam
10,13,11,hitam
10,12,11,hitam
8,10,9,hitam
8,10,9,hitam
6,9,8,hitam
6,9,8,hitam
7,9,7,hitam
7,9,7,hitam
7,9,7,hitam
6,8,7,hitam
6,8,7,hitam
6,8,7,hitam
6,8,7,hitam
6,8,7,hitam
6,8,6,hitam
6,8,6,hitam
6,8,7,hitam
6,8,7,hitam
6,8,7,hitam
6,8,7,hitam
6,8,7,hitam
6,8,7,hitam
6,8,7,hitam
6,8,7,hitam
6,8,7,hitam
6,7,7,hitam
6,7,7,hitam
6,7,7,hitam
5,7,7,hitam
5,7,7,hitam
6,7,7,hitam
6,7,7,hitam
6,7,7,hitam
6,7,8,hitam
6,7,8,hitam
6,8,6,hitam
6,8,6,hitam
6,8,7,hitam
6,8,7,hitam
6,8,7,hitam
6,8,6,hitam
6,8,6,hitam
6,8,7,hitam
6,8,7,hitam
6,8,7,hitam
7,8,7,hitam
7,8,7,hitam
8,9,7,hitam
8,9,7,hitam
7,9,8,hitam
7,9,8,hitam
7,9,8,hitam
8,10,9,hitam
8,10,9,hitam
8,10,9,hitam
8,10,9,hitam
8,10,9,hitam
8,10,9,hitam
8,10,9,hitam
8,10,9,hitam
8,10,9,hitam
8,10,10,hitam
8,11,10,hitam
8,11,10,hitam
8,10,9,hitam
8,10,9,hitam
9,11,10,hitam
9,11,10,hitam
9,11,10,hitam
8,10,9,hitam
8,10,9,hitam
9,11,9,hitam
9,11,9,hitam
8,10,9,hitam
8,10,10,hitam
8,10,10,hitam
8,10,10,hitam
8,10,10,hitam
8,10,10,hitam
8,10,10,hitam
8,10,10,hitam
8,10,9,hitam
8,10,9,hitam
8,10,9,hitam
8,10,9,hitam
8,11,10,hitam
8,10,10,hitam
8,10,10,hitam
